Well ID,Managing Agency,Type,Latitude,Longitude,Well Depth,
320956106411401,USGS,Discrete project site,32.165475,-106.6871,40,
321001106445101,USGS,Discrete project site,32.16731927,-106.7477779,31,
321008106443201,USGS,Discrete project site,32.16881944,-106.7422417,34,
321112106445201,USGS,Discrete project site,32.18509669,-106.7480561,19,
321206106422501,USGS,Discrete project site,32.20170833,-106.7070139,39,
321230106430402,USGS,Discrete project site,32.20870729,-106.7186111,30.5,
321232106423801,USGS,Discrete project site,32.20895,-106.7105194,39,
321239106444501,USGS,Discrete project site,32.21120728,-106.7452789,480,
321249106453401,USGS,Discrete project site,32.21361667,-106.7594472,35,
321342106444701,USGS,Discrete project site,32.22831944,-106.7464278,44,
321342106452202,USGS,Discrete project site,32.22842912,-106.7566687,30.2,
321455106492001,USGS,Discrete project site,32.24861667,-106.8223056,34,
321518106471701,USGS,Discrete project site,32.25509497,-106.7886148,35,
321616106501201,USGS,Discrete project site,32.27098333,-106.8367917,34,
321623106445601,USGS,Discrete project site,32.27370588,-106.749447,525,
321624106460201,USGS,Discrete project site,32.27398352,-106.7669476,470,
321628106451501,USGS,Discrete project site,32.2742614,-106.7541694,766,
321637106444001,USGS,Discrete project site,32.27648358,-106.7461136,626,
321640106524601,USGS,Discrete project site,32.2778714,-106.8800069,645,
321703106464701,USGS,Discrete project site,32.28426092,-106.7802815,700,
321704106460601,USGS,Discrete project site,32.28443056,-106.7682306,49,
321733106454301,USGS,Discrete project site,32.29203863,-106.7625032,685,
321803106500401,USGS,Discrete project site,32.30084722,-106.8345528,34,
321819106445201,USGS,Discrete project site,32.3053717,-106.7483363,591,
321820106501601,USGS,Discrete project site,32.305,-106.8380556,24,
321832106451301,USGS,Discrete project site,32.30926045,-106.7555588,700,
321832106481701,USGS,Discrete project site,32.30903056,-106.8048111,49,
321853106504001,USGS,Discrete project site,32.31509291,-106.8450062,20.4,
321914106462501,USGS,Discrete project site,32.32064888,-106.7744484,381,
321945106595001,USGS,Discrete project site,32.32786908,-107.0011225,300,
321956106453101,USGS,Discrete project site,32.33259312,-106.7600037,751,
322004106473701,USGS,Discrete project site,32.33439722,-106.7936333,50,
322011106473301,USGS,Discrete project site,32.33620388,-106.7919492,605,
322011106591901,USGS,Discrete project site,32.33620221,-106.998067,300,
322032106493101,USGS,Discrete project site,32.3422,-106.8252556,40,
322040106485302,USGS,Discrete project site,32.34481457,-106.8152834,30,
322047106505001,USGS,Discrete project site,32.3467587,-106.84834,17.93,
